Power before,fibr,r,,STD of power
1.407899,4.260665,,,
1.408768,4.256924,,,
1.408597,4.251449,,,
1.408196,4.2517,,,
1.407555,4.236581,,,
1.408064,4.248114,,,
1.410149,4.242781,,,
1.411621,4.23757,,,
1.414243,4.231234,,,
1.414475,4.231903,,,
1.411504,4.233584,,,
1.41055,4.226798,,,
1.411837,4.226417,,,
1.411408,4.223869,,,
1.409888,4.219978,,,
1.410901,4.216495,,,
1.410836,4.21517,,,
1.410668,4.213294,,,
1.409685,4.210668,,,
1.410042,4.206755,,,
1.411492,4.200802,,,
1.412294,4.199668,,,
1.412051,4.198344,,,
1.410005,4.198623,,,
1.408276,4.19603,,,
1.407497,4.193854,,,
1.409015,4.190675,,,
1.411015,4.18862,,,
1.411775,4.185319,,,
1.412352,4.182392,,,
1.412629,4.179986,,,
1.41026,4.177479,,,
1.407757,4.175326,,,
1.409013,4.171619,,,
1.411391,4.168794,,,
1.412202,4.166986,,,
1.41084,4.16372,,,
1.409055,4.160737,,,
1.40787,4.156144,,,
1.40748,4.151625,,,
1.409174,4.151641,,,
1.410616,4.151747,,,
1.410861,4.148413,,,
1.410535,4.144839,,,
1.409594,4.141998,,,
1.409038,4.13986,,,
1.40956,4.138409,,,
1.411659,4.137898,,,
1.413412,4.138084,,,
1.413011,4.136012,,,
1.412342,4.13153,,,
1.411403,4.126866,,,
1.411587,4.123101,,,
1.412194,4.119565,,,
1.413227,4.118559,,,
1.414001,4.117474,,,
1.413544,4.111988,,,
1.412054,4.109978,,,
1.411206,4.116665,,,
1.410697,4.110214,,,
1.411887,4.105797,,,
1.414148,4.101762,,,
1.414979,4.104014,,,
1.414393,4.095593,,,
1.412414,4.09362,,,
1.410533,4.096305,,,
1.409679,4.093265,,,
1.410453,4.087315,,,
1.411866,4.086614,,,
1.412573,4.085423,,,
1.411864,4.08589,,,
1.411324,4.081377,,,
1.411452,4.080178,,,
1.412907,4.076568,,,
1.413652,4.07522,,,
1.414405,4.075235,,,
1.41426,4.067961,,,
1.413029,4.068052,,,
1.410928,4.062187,,,
1.410314,4.064672,,,
1.411016,4.065702,,,
1.411876,4.065873,,,
1.412824,4.060001,,,
1.412547,4.05636,,,
1.411386,4.051644,,,
1.410555,4.055724,,,
1.410413,4.054044,,,
1.411963,4.051526,,,
1.412795,4.047724,,,
1.413502,4.043668,,,
1.413672,4.043098,,,
1.412671,4.036627,,,
1.411317,4.043113,,,
1.410513,4.04022,,,
1.410375,4.040685,,,
1.412052,4.037163,,,
1.413672,4.041976,,,
1.413684,4.036936,,,
1.411956,4.037457,,,
1.4103,4.033008,,,
1.410185,4.031863,,,
1.41104,4.031602,,,
1.412771,4.025023,,,
1.41359,4.026114,,,
1.413026,4.027295,,,
1.411879,4.027762,,,
1.411255,4.021717,,,
1.409391,4.019644,,,
1.408406,4.018973,,,
1.410273,4.020063,,,
1.410519,4.018255,,,
1.409594,4.01566,,,
1.409591,4.014017,,,
1.408812,4.016366,,,
1.408059,4.018351,,,
1.408384,4.017588,,,
1.409582,4.017321,,,
1.410826,4.016441,,,
1.410422,4.012877,,,
1.409721,4.007394,,,
1.408847,4.006561,,,
1.408694,4.00901,,,
1.410309,4.008457,,,
1.412712,4.000785,,,
1.412919,4.009886,,,
1.41158,4.009164,,,
1.409668,4.008749,,,
1.410134,4.008467,,,
1.410036,4.011016,,,
1.411404,4.009981,,,
1.413429,4.012715,,,
1.413696,4.007867,,,
1.413168,4.003301,,,
1.411876,3.999068,,,
1.410357,3.998365,,,
1.409688,3.997886,,,
1.411699,3.99757,,,
1.410212,3.997066,,,
1.414069,3.994488,,,
1.415375,3.999285,,,
1.41173,3.995385,,,
1.410061,3.994114,,,
1.410699,3.99522,,,
1.410348,3.994472,,,
1.411331,3.99571,,,
1.411983,3.993346,,,
1.409952,3.992832,,,
1.406529,3.990457,,,
1.40907,3.991502,,,
1.410017,3.991735,,,
1.408793,3.993081,,,
1.410703,3.993605,,,
1.411683,3.991673,,,
1.410399,3.991534,,,
