Power before,fibr,r,,STD of power
1.413659,4.109211,1.008383,9.542656,
1.420071,4.069922,1.008248,9.54147,
1.418136,4.080769,1.007895,9.538224,
1.417166,4.085272,1.007726,9.535092,
1.415139,4.098168,1.007551,9.533333,
1.41457,4.082117,1.007255,9.533912,
1.411987,4.069268,1.006959,9.53316,
1.412385,4.083861,1.006788,9.53308,
1.411606,4.09141,1.006599,9.53023,
1.419909,4.074115,1.006502,9.532041,
1.419888,4.049184,1.006341,9.532061,
1.412576,4.045728,1.006189,9.528589,
1.410784,4.039879,1.005799,9.528867,
1.412683,4.052053,1.005573,9.529291,
1.414813,4.061716,1.005355,9.529114,
1.418375,4.066261,1.005052,9.527358,
1.416165,4.058032,1.004802,9.527162,
1.418703,4.046458,1.004396,9.527922,
1.415973,4.041075,1.00402,9.524213,
1.412882,4.042499,1.004017,9.525975,
1.410943,4.042711,1.003588,9.528744,
1.412994,4.030767,1.00341,9.530049,
1.414204,4.041191,1.003188,9.527439,
1.410756,4.042775,1.002645,9.528221,
1.420546,4.043719,1.002198,9.52734,
1.424977,4.036626,1.001795,9.528559,
1.41112,4.044509,1.001644,9.530275,
1.41218,4.048166,1.001286,9.529843,
1.418195,4.039636,1.000889,9.529899,
1.41682,4.045181,1.000576,9.527721,
1.418878,4.036207,1.000259,9.52668,
1.415946,4.040612,,9.526151,
1.4131,4.034362,,9.529832,
1.410104,4.02862,,9.529816,
1.414835,4.037416,,9.527544,
1.416254,4.040084,,9.532738,
1.417097,4.033647,,9.533778,
1.416138,4.036255,,9.536447,
1.41595,4.020236,,9.529251,
1.41749,4.028009,,9.535496,
1.415765,4.035363,,9.53413,
1.409388,4.027777,,9.533116,
1.416132,4.032152,,9.537478,
1.414392,4.031374,,9.537414,
1.417573,4.022757,,9.526673,
1.414828,4.028594,,9.530075,
1.411965,4.026491,,9.529927,
1.412828,4.016164,,9.532067,
1.410422,4.001708,,9.533216,
1.415386,4.003329,,9.535842,
1.421831,3.985538,,9.537576,
1.422034,3.993674,,9.539379,
1.420181,4.017071,,9.539296,
1.41919,4.023853,,,
1.412845,3.999781,,,
1.419128,3.994592,,,
1.414508,3.985394,,,
1.411688,3.98929,,,
1.420533,4.00732,,,
1.415438,4.001583,,,
1.412112,3.99725,,,
1.411486,3.985128,,,
1.416325,3.98907,,,
1.419845,3.990869,,,
1.416329,3.976969,,,
1.413216,3.980609,,,
1.411364,3.984392,,,
1.414316,3.994253,,,
1.414127,3.985405,,,
1.41314,3.969171,,,
1.412935,3.970135,,,
1.416529,3.976494,,,
1.417838,3.978638,,,
1.418388,3.97114,,,
1.41656,3.981368,,,
1.416361,3.992074,,,
1.414871,3.976921,,,
1.414289,3.968794,,,
1.413501,3.97542,,,
1.413543,3.991284,,,
1.415381,3.990292,,,
1.415659,3.983893,,,
1.415939,3.96169,,,
1.412653,3.977896,,,
1.412529,3.979818,,,
1.417281,3.974682,,,
1.419679,3.971296,,,
1.417675,3.951464,,,
1.413734,3.967555,,,
1.414621,3.970505,,,
1.417822,3.962471,,,
1.418768,3.962842,,,
1.418658,3.962867,,,
1.416515,3.956599,,,
1.414676,3.954193,,,
1.413294,3.952949,,,
1.415806,3.950587,,,
1.413604,3.944451,,,
1.412812,3.937653,,,
1.414736,3.934427,,,
1.414336,3.939238,,,
1.414418,3.954931,,,
1.413165,3.956524,,,
1.412535,3.958068,,,
1.412239,3.960954,,,
1.41472,3.963719,,,
1.418539,3.953145,,,
1.416643,3.955376,,,
1.41558,3.964732,,,
1.415491,3.97027,,,
1.412543,3.961576,,,
1.408102,3.95594,,,
1.421139,3.950271,,,
1.427969,3.948087,,,
1.414524,3.949585,,,
1.414814,3.95225,,,
1.417055,3.950112,,,
1.416161,3.949839,,,
1.413989,3.951919,,,
1.41573,3.954167,,,
1.42107,3.953617,,,
1.418514,3.949663,,,
1.41376,3.947664,,,
1.415368,3.945232,,,
1.421768,3.93976,,,
1.416373,3.935966,,,
1.419543,3.935771,,,
1.42201,3.939746,,,
1.417974,3.945378,,,
1.42003,3.943328,,,
1.416508,3.941106,,,
1.411381,3.931328,,,
1.420442,3.931691,,,
1.422731,3.939668,,,
1.419751,3.941265,,,
1.421097,3.949185,,,
1.418642,3.950466,,,
1.413932,3.926543,,,
1.41336,3.945196,,,
1.410102,3.927198,,,
1.41465,3.939062,,,
1.416294,3.940286,,,
1.415138,3.937223,,,
1.413157,3.95139,,,
1.414283,3.949825,,,
1.414842,3.938678,,,
1.41402,3.924128,,,
1.415262,3.931032,,,
1.413596,3.930944,,,
1.408241,3.934179,,,
1.412338,3.927225,,,
1.413267,3.934576,,,
1.414723,3.936934,,,
1.416752,3.936078,,,
1.415728,3.937428,,,
1.411001,3.940461,,,
1.403113,3.940147,,,
1.412356,3.926693,,,
1.416453,3.936789,,,
1.410268,3.93983,,,
1.416333,3.944783,,,
1.421076,3.939078,,,
1.421233,3.938364,,,
1.414092,3.938224,,,
1.412733,3.943471,,,
1.408161,3.945048,,,
1.409198,3.941208,,,
1.410512,3.942771,,,
1.413391,3.938661,,,
